fuel,name,value,scenario,dots,step,filename
Gas (pipeline),Supply Shock,0.3177017168104395,5,48,1,scenario 5 step 1.csv
"Gas (pipeline, excluding Norway and United Kingdom)",Supply Shock,0.1024864024145755,5,15,1,scenario 5 step 1.csv
Gas (LNG),Supply Shock,0.3667292628396162,5,55,1,scenario 5 step 1.csv
Oil and petroleum products,Supply Shock,0.4755489178016503,5,71,1,scenario 5 step 1.csv
Coal,Supply Shock,0.04859275228842638,5,7,1,scenario 5 step 1.csv
Uranium (Average),Supply Shock,0.076516783,5,11,1,scenario 5 step 1.csv
Onshore Wind,Supply Shock,0.003984922930982822,5,1,1,scenario 5 step 1.csv
Offshore Wind,Supply Shock,0.01149612165342757,5,2,1,scenario 5 step 1.csv
Solar,Supply Shock,0.006029742988962439,5,1,1,scenario 5 step 1.csv
Gas (pipeline),Storage loss addition,4.512580208123429,5,677,2,scenario 5 step 2.csv
"Gas (pipeline, excluding Norway and United Kingdom)",Storage loss addition,1.52879469667733,5,229,2,scenario 5 step 2.csv
Gas (LNG),Storage loss addition,5.654513409296142,5,848,2,scenario 5 step 2.csv
Coal,Storage loss addition,0.1950732258226046,5,29,2,scenario 5 step 2.csv
Gas (pipeline),Price Shock + Minerals,0.34974,5,52,3,scenario 5 step 3.csv
"Gas (pipeline, excluding Norway and United Kingdom)",Price Shock + Minerals,0.34974,5,52,3,scenario 5 step 3.csv
Gas (LNG),Price Shock + Minerals,0.31356,5,47,3,scenario 5 step 3.csv
Oil and petroleum products,Price Shock + Minerals,0.351436,5,53,3,scenario 5 step 3.csv
Coal,Price Shock + Minerals,0.043804,5,7,3,scenario 5 step 3.csv
Uranium (Average),Price Shock + Minerals,0.082656,5,12,3,scenario 5 step 3.csv
Hydro,Price Shock + Minerals,0.012528,5,2,3,scenario 5 step 3.csv
Onshore Wind,Price Shock + Minerals,0.0250096,5,4,3,scenario 5 step 3.csv
Offshore Wind,Price Shock + Minerals,0.0250096,5,4,3,scenario 5 step 3.csv
Solar,Price Shock + Minerals,0.011985,5,2,3,scenario 5 step 3.csv
Gas (pipeline),Kinetic war pain,7.651825417785525,5,1148,4,scenario 5 step 4.csv
"Gas (pipeline, excluding Norway and United Kingdom)",Kinetic war pain,7.376406645265122,5,1106,4,scenario 5 step 4.csv
Gas (LNG),Kinetic war pain,5.663119470509145,5,849,4,scenario 5 step 4.csv
Oil and petroleum products,Kinetic war pain,16.23729549002102,5,2436,4,scenario 5 step 4.csv
Coal,Kinetic war pain,0.9094009863391349,5,136,4,scenario 5 step 4.csv
Uranium (Average),Kinetic war pain,1.347148262,5,202,4,scenario 5 step 4.csv
Hydro,Kinetic war pain,0.1655577804491418,5,25,4,scenario 5 step 4.csv
Onshore Wind,Kinetic war pain,0.1291708877421758,5,19,4,scenario 5 step 4.csv
Offshore Wind,Kinetic war pain,0.1436419257882558,5,22,4,scenario 5 step 4.csv
Solar,Kinetic war pain,0.08600901832237977,5,13,4,scenario 5 step 4.csv
